brand, product, price, shipping, hyperlink
ASUS,ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),$319.99,Free Shipping,https://www.newegg.com/asus-geforce-rtx-2060-tuf-rtx2060-o6g-gaming/p/N82E16814126311?Item=N82E16814126311
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$169.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-x-4g/p/N82E16814137054?Item=N82E16814137054
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 VENTUS GP 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,,,https://www.newegg.com/msi-geforce-rtx-2070-rtx-2070-ventus-gp/p/N82E16814137504?Item=9SIA25VB990487
MSI,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$463.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-gaming/p/N82E16814137463?Item=9SIAMNEBMB4659
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$164.99,$3.99 Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1650-gv-n1656wf2oc-4gd/p/N82E16814932286?Item=N82E16814932286
MSI,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$818.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2080-super-rtx-2080-super-gaming-x-trio/p/N82E16814137442?Item=9SIAN0MBM89065
EVGA,EVGA GeForce RTX 2080 SUPER BLACK GAMING| 08G-P4-3081-KR| 8GB GDDR6,$767.00,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2080-super-08g-p4-3081-kr/p/N82E16814487461?Item=9SIAMNEBM94265
GIGABYTE,GIGABYTE GeForce GT 1030 Low Profile 2GB| GV-N1030D5-2GL,$84.99,$3.99 Shipping,https://www.newegg.com/gigabyte-geforce-gt-1030-gv-n1030d5-2gl/p/N82E16814125972?Item=N82E16814125972
GIGABYTE,GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card,$229.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1660-gv-n1660oc-6gd/p/N82E16814932138?Item=N82E16814932138
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 D6 Ventus XS OC 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$154.99,$1.99 Shipping,https://www.newegg.com/msi-geforce-gtx-1650-gtx-1650-d6-ventus-xs-oc/p/N82E16814137529?Item=N82E16814137529
ASUS,ASUS GeForce GTX 1650 4GB Phoenix Fan Overclocked Edition HDMI DP DVI Graphics Card (PH-GTX1650-O4G),$149.99,$2.99 Shipping,https://www.newegg.com/asus-geforce-gtx-1650-ph-gtx1650-o4g/p/N82E16814126322?Item=N82E16814126322
MSI,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER ARMOR OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$739.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-armor-oc/p/N82E16814137441?Item=9SIAKRFBCR6194
